time(ms);FP;FP(%);FPL_CMD;FRP_A(kPa);FRP_A(kPa);FRP_A_CMD(kPa);LP_FUEL_SW;FLPA(kPa);FLP_DSD(kPa);FLP_V(V);FP_RELAY;FRP(kPa);FRP_DSD(kPa)
0;On;31.87;-;-;-;-;-;-;-;-;-;-;-
148;On;31.87;Off;-;-;-;-;-;-;-;On;-;-
194;On;31.87;Off;75456.0;-;-;-;-;-;-;On;-;-
224;On;31.87;Off;75752.0;75460.0;75260.0;-;-;-;-;On;-;-
269;On;31.87;Off;76048.0;75460.0;75260.0;Not Low;-;-;-;On;-;-
328;On;31.87;Off;76336.0;75460.0;75260.0;Not Low;413.5;-;-;On;-;-
374;On;31.87;Off;76632.0;75460.0;75260.0;Not Low;413.5;765.0;-;On;-;-
404;On;31.87;Off;76928.0;75460.0;75260.0;Not Low;413.5;765.0;2.15;On;-;-
449;On;31.87;Off;77224.0;75460.0;75260.0;Not Low;413.5;765.0;2.15;On;77040.0;-
494;On;31.87;Off;77520.0;75460.0;75260.0;Not Low;413.5;765.0;2.15;On;77480.0;77200.0
540;On;31.87;Off;77808.0;75460.0;75260.0;Not Low;414.0;765.0;2.15;On;77920.0;77800.0
569;On;31.87;Off;78104.0;75460.0;75260.0;Not Low;414.0;765.0;2.15;On;78360.0;78390.0
615;On;31.87;Off;78400.0;75460.0;75260.0;Not Low;414.0;765.0;2.15;On;78800.0;78990.0
675;On;31.87;Off;79024.0;78250.0;78320.0;Not Low;414.0;765.0;2.15;On;79240.0;79580.0
706;On;31.87;Off;79640.0;78250.0;78320.0;Not Low;414.0;765.0;2.15;On;79680.0;80180.0
750;On;31.87;Off;80264.0;78250.0;78320.0;Not Low;414.0;765.0;2.15;On;80120.0;80780.0
828;On;31.87;Off;80880.0;78250.0;78320.0;Not Low;414.0;765.0;2.15;On;80560.0;81370.0
869;On;31.87;Off;81504.0;78250.0;78320.0;Not Low;413.5;765.0;2.15;On;81000.0;81970.0
916;On;31.87;Off;82128.0;78250.0;78320.0;Not Low;413.5;765.0;2.15;On;81440.0;82560.0
945;On;31.87;Off;82744.0;78250.0;78320.0;Not Low;413.5;765.0;2.15;On;82040.0;83160.0
989;On;31.87;Off;83368.0;78250.0;78320.0;Not Low;413.0;765.0;2.15;On;82630.0;83550.0
1033;On;31.87;Off;83984.0;78250.0;78320.0;Not Low;413.0;765.0;2.15;On;83230.0;83940.0
1064;On;31.87;Off;84608.0;78250.0;78320.0;Not Low;413.0;765.0;2.16;On;83820.0;84330.0
1110;On;31.87;Off;84848.0;86200.0;86060.0;Not Low;413.0;765.0;2.16;On;84420.0;84720.0
1156;On;31.87;Off;85088.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;85010.0;85110.0
1185;On;31.87;Off;85328.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;85610.0;85500.0
1229;On;31.87;Off;85568.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;86200.0;85890.0
1275;On;31.87;Off;85800.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;86800.0;86280.0
1306;On;31.87;Off;86040.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;87390.0;86670.0
1349;On;31.87;Off;86280.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;87030.0;87060.0
1394;On;31.87;Off;86520.0;86200.0;86060.0;Not Low;413.0;765.0;2.16;On;86670.0;86330.0
1439;On;31.87;Off;86760.0;86200.0;86060.0;Not Low;413.0;765.0;2.16;On;86320.0;85600.0
1485;On;31.87;Off;87000.0;86200.0;86060.0;Not Low;413.0;765.0;2.16;On;85960.0;84870.0
1543;On;31.87;Off;86008.0;85400.0;85310.0;Not Low;413.0;765.0;2.16;On;85600.0;84140.0
1591;On;31.87;Off;85008.0;85400.0;85310.0;Not Low;413.0;765.0;2.16;On;85240.0;83410.0
